"","PI","Intervention","MONTH_prev_observed","Obs_mean_eff","Pred_eff","Obs_eff_max","Obs_eff_min","Eff_model_min","Eff_model_max","study","study_col","intervention_symbol","col_rel_eff_month","study_symb"
"1","Curtis","ITN",2,-0.00839328537170265,0.0435159268402359,-0.00839328537170265,-0.00839328537170265,0.0597410225114024,0.0301332819416274,"Curtis","darkred",1,"grey",1
"2","Curtis","ITN",5,0.0715123094958968,0.0544836221948284,0.0715123094958968,0.0715123094958968,0.0718544464033657,0.0391881125979047,"Curtis","darkred",1,"grey",1
"3","Curtis","ITN",8,0.101591187270502,0.120033488864886,0.101591187270502,0.101591187270502,0.142497948540819,0.100174398987348,"Curtis","darkred",1,"lightgreen",1
"4","Curtis","ITN",11,0.106666666666667,0.131756285407719,0.106666666666667,0.106666666666667,0.155070964028417,0.11007754896471,"Curtis","darkred",1,"lightgreen",1
"5","Curtis","IRS",2,0.0863309352517985,0.218805693466829,0.0863309352517985,0.0863309352517985,0.239056166851738,0.198010957445832,"Curtis","darkred",1,"grey",1
"6","Curtis","IRS",5,0.0609613130128956,0.258100416644114,0.0609613130128956,0.0609613130128956,0.292852221179581,0.218510468403829,"Curtis","darkred",1,"grey",1
"7","Curtis","IRS",8,0.106487148102815,0.359517472841875,0.106487148102815,0.106487148102815,0.396227311660075,0.320652720071823,"Curtis","darkred",1,"lightgreen",1
"8","Curtis","IRS",11,0.0562962962962963,0.541519509242373,0.0562962962962963,0.0562962962962963,0.578162443027006,0.50618280158539,"Curtis","darkred",1,"lightgreen",1
"9","D'Alessandro","ITN",1,0.231607629427793,0.374102536969921,0.231607629427793,0.231607629427793,0.332607073886934,0.414802584587709,"D'Alessandro","red",1,"grey",2
"10","D'Alessandro","ITN",1,0.309090909090909,0.440367628936468,0.309090909090909,0.309090909090909,0.394655705642436,0.482102099714579,"D'Alessandro","red",1,"grey",2
"11","D'Alessandro","ITN",1,0.383720930232558,0.474117523175864,0.383720930232558,0.383720930232558,0.435085871920772,0.511221264984198,"D'Alessandro","red",1,"grey",2
"12","D'Alessandro","ITN",1,0.191369606003752,0.188001554737056,0.191369606003752,0.191369606003752,0.156750150053279,0.222068849115589,"D'Alessandro","red",1,"grey",2
"13","D'Alessandro","ITN",1,-0.588366890380313,0.125426433228179,-0.588366890380313,-0.588366890380313,0.0999603968636039,0.149525443938962,"D'Alessandro","red",1,"grey",2
"14","Henry","ITN",48,0.0476190476190475,-0.0226229601536035,0.122619047619048,-0.0357142857142857,-0.038836935651723,-0.00601792249611724,"Henry","orange",1,"black",3
"15","Henry","ITN",48,0.173722627737226,0.419137376032718,0.226277372262774,0.121167883211679,0.386340407488527,0.454238237089519,"Henry","orange",1,"black",3
"16","Kafy","ITN_IRS",21,0.2,-0.0290209521219592,0,0.6,-0.396606350223011,0.279130623804659,"Kafy","blue",19,"darkblue",4
"17","Kafy","ITN_IRS",33,0.4,0.371683104237706,0.2,0.8,0.0413507143340129,0.642855114322421,"Kafy","blue",19,"black",4
"18","Marbiah","ITN",15,0.275210084033613,0.175978252179313,0.275210084033613,0.275210084033613,0.14952369100062,0.20394274446385,"Marbiah","darkgreen",17,"darkblue",5
"19","Philips-Howard","ITN",22,0.367704280155642,0.331065690445152,0.367704280155642,0.367704280155642,0.384544545654269,NA,"Philips-Howard","darkblue",19,"darkblue",6
"20","Philips-Howard","ITN",40,0.135549872122762,0.121499272799017,0.135549872122762,0.135549872122762,0.221640476528153,NA,"Philips-Howard","darkblue",19,"black",6
"21","Protopopoff","PBO_ITN",4,0.174774774774775,0.267731075453528,0.174774774774775,0.174774774774775,0.194553340381263,0.357065582108458,"Protopopoff","green",8,"grey",7
"22","Protopopoff","PBO_ITN",9,0.437613019891501,0.353312838432389,0.437613019891501,0.437613019891501,0.252540467071956,0.470015086138369,"Protopopoff","green",8,"lightgreen",7
"23","Protopopoff","PBO_ITN",16,0.343396226415094,0.151421185053752,0.343396226415094,0.343396226415094,0.0747342808150259,0.263859446426808,"Protopopoff","green",8,"darkgreen",7
"24","Protopopoff","PBO_ITN",21,0.325,0.155888745623568,0.325,0.325,0.0700799323616066,0.274382477808224,"Protopopoff","green",8,"darkblue",7
"25","Protopopoff","ITN_IRS",4,0.304504504504505,0.22524175519433,0.304504504504505,0.304504504504505,0.186956237141756,0.266319116101585,"Protopopoff","green",8,"grey",7
"26","Protopopoff","ITN_IRS",9,0.522603978300181,0.455142454795584,0.522603978300181,0.522603978300181,0.402701696193092,0.504543681701335,"Protopopoff","green",8,"lightgreen",7
"27","Protopopoff","ITN_IRS",16,0.247169811320755,0.102491419652899,0.247169811320755,0.247169811320755,0.053030284237562,0.162389861019341,"Protopopoff","green",8,"darkgreen",7
"28","Protopopoff","ITN_IRS",21,0.189705882352941,0.0341361343594725,0.189705882352941,0.189705882352941,-0.0203664207157091,0.0987130242599119,"Protopopoff","green",8,"darkblue",7
"29","Protopopoff","PBO_ITN_IRS",4,0.324324324324324,0.394078964416418,0.324324324324324,0.324324324324324,0.327780641986181,0.493732882827211,"Protopopoff","green",8,"grey",7
"30","Protopopoff","PBO_ITN_IRS",9,0.482820976491863,0.621127526533365,0.482820976491863,0.482820976491863,0.559438625625378,0.694505985662017,"Protopopoff","green",8,"lightgreen",7
"31","Protopopoff","PBO_ITN_IRS",16,0.450943396226415,0.406835861101831,0.450943396226415,0.450943396226415,0.268162670909468,0.602237250336218,"Protopopoff","green",8,"darkgreen",7
"32","Protopopoff","PBO_ITN_IRS",21,0.357352941176471,0.302078424646734,0.357352941176471,0.357352941176471,0.174664024799804,0.491437801193422,"Protopopoff","green",8,"darkblue",7
"33","West","ITN_IRS",11,0.408695652173913,0.438164625569999,0.0716698171523791,0.658466445087482,0.356460810048108,0.519195304731104,"West","gold2",19,"lightgreen",9
"34","West","ITN_IRS",15,0.576666666666667,0.595179415462094,0.34389078028818,0.86354795939032,0.525606871701992,0.66386818857442,"West","gold2",19,"darkgreen",9
"35","West","ITN_IRS",19,0.441666666666667,0.409568928685869,0.0267027450421902,0.743226403674298,0.303781442482287,0.516774998219817,"West","gold2",19,"darkblue",9
"36","Chaccour","ITN_IRS",17,0.209302325581395,0.43385079410901,0.209302325581395,0.209302325581395,0.296817777987925,0.622394259818731,"Chaccour","grey",18,"darkgreen",10
"37","Staedke","PBO_ITN",12,0.262068965517241,0.165019721090416,0.262068965517241,0.262068965517241,-0.00568900020159186,0.340913786925359,"Staedke","aquamarine1",8,"lightgreen",11
"38","Staedke","PBO_ITN",18,0.184615384615385,0.352449672268106,0.184615384615385,0.184615384615385,0.17574377095291,0.521729069981029,"Staedke","aquamarine1",8,"darkgreen",11
"39","Staedke","PBO_ITN",24,0.157142857142857,0.374800651004924,0.157142857142857,0.157142857142857,0.164293581592243,0.569682319468363,"Staedke","aquamarine1",8,"darkblue",11
"40","Nevill","ITN",20,0.571428571428571,0.43385079410901,0.571428571428571,0.571428571428571,0.296817777987925,0.622394259818731,"Nevill","black",1,"darkblue",12
"41","Nevill","ITN",24,0.52755905511811,0.432967160923686,0.52755905511811,0.52755905511811,0.304045741257728,0.628182022146425,"Nevill","black",1,"darkblue",12
"42","Nevill","ITN",27,0.321739130434783,0.444221793444273,0.321739130434783,0.321739130434783,0.303385682799225,0.645303324384924,"Nevill","black",1,"black",12
"43","Bradley","IRS",3,0.0489130434782609,-0.0326708841459604,-0.320652173913043,0.331521739130435,-0.186320270145296,0.157154176279304,"Bradley","pink",19,"grey",13
"44","Bradley","IRS",3,0.275862068965517,-0.112024629653849,-0.064655172413793,0.521551724137931,-0.273514285411313,0.0913121087550502,"Bradley","pink",19,"grey",13
