ID,Principle author,Country,Trial follow-up,Number of trial arms
1,Bradley,Equatorial Guinea,03/2014 - 06/2014,2
2,Chaccour,Mozambique,10/2016 - 09/2018 ,2
3,Corbel,Benin,06/2008 - 12/2009,4 (3 modelled)
4,Curtis,Tanzania,02/1996 - 12/1996,3
5,D'Alessandro,The Gambia,06/1992 - 07/1993,2
6,Henry,Cote d'Ivoire,07/1999 - 06/2000,2
7,Kafy,Sudan,06/2013 - 05/2015,2
8,Loha,Ethiopia,09/2014 - 01/2017 (121 weeks),4
9,Marbiah,Sierre Leone,06/1992 - 03/1993,4 (2 modelled)
10,Nevill,Kenya,06/1993 - 07/1995,2
11,Phillips-Howard,Kenya,01/1997 - 12/1999,2
12,Protopopoff,Tanzania,03/2014 - 12/2016,4
13,Staedke,Uganda,01/2017 - 07/2019,2
14,West,Kenya,12/2011 - 11/2012,2
